# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	20251007_PS
# Description:	 	
# Date:	 	10/07/2025 16:41:31
# Reference:	 	10/07/2025 16:26:38 
# Scanner Center Position (X, Y):	[µm]	48.64	48.42	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	2048
# Interferometer Center/Distance:	[µm]	400.000	600.000	 
# Averaging:	 	8	 	 
# Integration time:	[ms]	10	 	 
# Wavenumber Scaling:	 	1.000000	 	 
# Laser Source:	 	4.5-15 µm nano-FTIR laser
# Detector:	 	R
# Target Wavelength:	[µm]	6.002	 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	238,800.109	 	 
# Tip Amplitude:	[mV]	13.000	 	 
# Tapping Amplitude:	[nm]	69.276	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	79.75	 	 
# Regulator (P, I, D):	 	4.206850	8.625812	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	0.426	 	 
# M1A Cantilever Factor:	 	1,000	 	 
# Q-Factor:	 	452.3	 	 
# Version:	 	2.1.11536.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	1	2.0833333333333335	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	2	4.166666666666667	0	0	0	0	0	0	0	0	0.113349386	-2.910593	0	0	
0	0	3	6.25	0	0	0	0	0	0	0.08920765	-2.8439424	0.10274305	3.0957913	0	0	
0	0	4	8.333333333333334	0	0	0	0	0.09327774	-2.9041386	0.08808191	-3.0693083	0.077780046	2.840277	0	0	
0	0	5	10.416666666666666	0	0	0	0	0	0	0.083218195	2.9881701	0.043099634	2.4836566	0	0	
0	0	6	12.5	0	0	0	0	0	0	0	0	0.016151885	0.50110483	0	0	
0	0	7	14.583333333333334	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	8	16.666666666666668	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	9	18.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	10	20.833333333333332	0	0	0	0	0	0	0	0	0.061863076	-2.7181742	0	0	
0	0	11	22.916666666666668	0	0	0	0	0	0	0	0	0.020357914	-1.7508358	0	0	
0	0	12	25	0	0	0	0	0	0	0	0	0.06509146	-0.66613513	0	0	
0	0	13	27.083333333333332	0	0	0	0	0	0	0	0	0.14973445	-0.56425244	0	0	
0	0	14	29.166666666666668	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	15	31.25	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	16	33.333333333333336	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	17	35.416666666666664	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	18	37.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	19	39.583333333333336	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	20	41.666666666666664	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	21	43.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	22	45.833333333333336	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	23	47.916666666666664	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	24	50	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	25	52.083333333333336	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	26	54.166666666666664	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	27	56.25	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	28	58.333333333333336	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	29	60.416666666666664	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	30	62.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	31	64.58333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	32	66.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	33	68.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	34	70.83333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	35	72.91666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	36	75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	37	77.08333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	38	79.16666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	39	81.25	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	40	83.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	41	85.41666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	42	87.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	43	89.58333333333333	0	0	0	0	0	0	0	0	0.10828191	-0.1639047	0	0	
0	0	44	91.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	45	93.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	46	95.83333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	47	97.91666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	48	100	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	49	102.08333333333333	0	0	0	0	0	0	0.08003354	-2.1884727	0.033870477	-0.95793813	0	0	
0	0	50	104.16666666666667	0	0	0	0	0	0	0.079408914	-1.8757288	0.01168873	-0.30493075	0	0	
0	0	51	106.25	0	0	0	0	0	0	0	0	0.035584822	1.6069952	0	0	
0	0	52	108.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	53	110.41666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	54	112.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	55	114.58333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	56	116.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	57	118.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	58	120.83333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	59	122.91666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	60	125	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	61	127.08333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	62	129.16666666666666	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	63	131.25	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	64	133.33333333333334	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	65	135.41666666666666	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	66	137.5	0	0	0	0	0	0	0	0	0	0	0	0	
